mgen_id	mgen_group
xjin_MS_P4R2a	xjin_test6
xjin_N_P4R2a	xjin_test6
xjin_AB_P5R2a	xjin_test6
xjin_AS_P5R2a	xjin_test6
xjin_MB_P5R2a	xjin_test6
xjin_MS_P5R2a	xjin_test6
xjin_N_P5R2a	xjin_test6
xjin_AB_P0R1a	xjin_test7
xjin_AB_P0R1b	xjin_test7
xjin_AB_P0R2a	xjin_test7
xjin_AB_P0R2b	xjin_test7
xjin_AB_P0R3a	xjin_test7
xjin_AB_P0R3b	xjin_test7
xjin_AB_P1R1a	xjin_test7
xjin_AB_P1R1b	xjin_test7
xjin_AB_P1R2a	xjin_test7
xjin_AB_P1R2b	xjin_test7
xjin_AB_P1R3a	xjin_test7
xjin_AB_P1R3b	xjin_test7
xjin_AB_P2R1a	xjin_test7
xjin_AB_P2R1b	xjin_test7
xjin_AB_P2R2a	xjin_test7
xjin_AB_P2R2b	xjin_test7
xjin_AB_P2R3a	xjin_test7
xjin_AB_P2R3b	xjin_test7
xjin_AB_P3R1a	xjin_test7
xjin_AB_P3R1b	xjin_test7
xjin_AB_P3R2a	xjin_test7
xjin_AB_P3R2b	xjin_test7
xjin_AB_P3R3a	xjin_test7
xjin_AB_P3R3b	xjin_test7
xjin_AB_P4R1a	xjin_test7
xjin_AB_P4R1b	xjin_test7
xjin_AB_P4R2a	xjin_test7
xjin_AB_P4R2b	xjin_test7
xjin_AB_P4R3a	xjin_test7
xjin_AB_P4R3b	xjin_test7
xjin_AB_P5R1a	xjin_test7
xjin_AB_P5R1b	xjin_test7
xjin_AB_P5R2a	xjin_test7
xjin_AB_P5R2b	xjin_test7
xjin_AB_P5R3a	xjin_test7
xjin_AB_P5R3b	xjin_test7
xjin_AS_P0R1a	xjin_test7
xjin_AS_P0R1b	xjin_test7
xjin_AS_P0R2a	xjin_test7
xjin_AS_P0R2b	xjin_test7
xjin_AS_P0R3a	xjin_test7
xjin_AS_P0R3b	xjin_test7
xjin_AS_P1R1a	xjin_test7
