mgen_id	preprocessing	sra_accession	r1_path	r2_path
watson_DA_R04_UC_P_03_POST	hfilt.dedup.deadapt.qtrim	SRR13712888	raw/sra/SRR13712888_1.fq.gz	raw/sra/SRR13712888_2.fq.gz
watson_DA_R04_UC_P_02_PRE	hfilt.dedup.deadapt.qtrim	SRR13712889	raw/sra/SRR13712889_1.fq.gz	raw/sra/SRR13712889_2.fq.gz
watson_DA_R04_UC_P_01_PRE	hfilt.dedup.deadapt.qtrim	SRR13712890	raw/sra/SRR13712890_1.fq.gz	raw/sra/SRR13712890_2.fq.gz
watson_DA_R03_CDI_C_08_POST	hfilt.dedup.deadapt.qtrim	SRR13712891	raw/sra/SRR13712891_1.fq.gz	raw/sra/SRR13712891_2.fq.gz
watson_DA_R03_CDI_C_07_POST	hfilt.dedup.deadapt.qtrim	SRR13712892	raw/sra/SRR13712892_1.fq.gz	raw/sra/SRR13712892_2.fq.gz
watson_DA_R03_CDI_C_06_POST	hfilt.dedup.deadapt.qtrim	SRR13712893	raw/sra/SRR13712893_1.fq.gz	raw/sra/SRR13712893_2.fq.gz
watson_DA_R03_CDI_C_05_POST	hfilt.dedup.deadapt.qtrim	SRR13712894	raw/sra/SRR13712894_1.fq.gz	raw/sra/SRR13712894_2.fq.gz
watson_DA_R03_CDI_C_04_POST	hfilt.dedup.deadapt.qtrim	SRR13712895	raw/sra/SRR13712895_1.fq.gz	raw/sra/SRR13712895_2.fq.gz
watson_DA_D_03	hfilt.dedup.deadapt.qtrim	SRR13712896	raw/sra/SRR13712896_1.fq.gz	raw/sra/SRR13712896_2.fq.gz
watson_DA_D_21	hfilt.dedup.deadapt.qtrim	SRR13712897	raw/sra/SRR13712897_1.fq.gz	raw/sra/SRR13712897_2.fq.gz
watson_DA_D_24	hfilt.dedup.deadapt.qtrim	SRR13712898	raw/sra/SRR13712898_1.fq.gz	raw/sra/SRR13712898_2.fq.gz
watson_DA_D_05	hfilt.dedup.deadapt.qtrim	SRR13712899	raw/sra/SRR13712899_1.fq.gz	raw/sra/SRR13712899_2.fq.gz
watson_DA_D_20	hfilt.dedup.deadapt.qtrim	SRR13712900	raw/sra/SRR13712900_1.fq.gz	raw/sra/SRR13712900_2.fq.gz
watson_DA_D_19	hfilt.dedup.deadapt.qtrim	SRR13712901	raw/sra/SRR13712901_1.fq.gz	raw/sra/SRR13712901_2.fq.gz
